HolderAddress,Balance
0x558b624de1d61379e0a131c7a9c6f6d9dcc14abe,54339086488
0xd01c32b65c1f1675a2568582c0f22fd8f6fdc40c,25230411527
0x3a695c7996c108bf341bfa1111209391ba9edc9b,1588042956
0xfab2def24561f222640002f708212d64c2adba69,15182092561
0xbfe2a4d66179a6ebc6e5341c61887cf24efb1ade,13948917736
0x646d91fb3c59cbdb785c12271fb9439a3e9e3471,6312713844
0x31d283e1e56232e59b45f008ca92a5776573d6d4,5089336207
0xee8d736bcf236202b5838a920b4cb972d203035b,5086673491
0xf6aba0d60a55e77a8924e75382a45802acafc09f,3685426471
0x50622667cbf3b8110a78254b1af8129cab70dbac,1260690854
0x798a3d2e59bc604348c88bb74545d52710bd048b,2260690854
0x7e68c99cdaed4dfba1803f4141e73060016ac8dd,2260690854
0xccbf3cb81bbaf07fdc1336d5382f24af435267c3,1503872104
0x8fd41ceb35771eb8993ea82234020268038c6944,1269323581
0xe3a627d8b9a02c0d13efb8df918fedbbfa1e85e3,1073160837
0x272b0ad013230f463a97dfccac47a53968b6a71e,367303665.8
0x44c5eb53274221c8d55e617685a72de49d27d234,329572633.3
0x7328e8c8307f33a36f79be151c7d0166744cde58,170148967.2
0x392af07fc2a3b98b00b8f93329d06c8dda5ee194,123784963
0x19cfea490132805f34466f3d18cad95207b0ed90,101962380.2
0xfb0e5bcf706dfcb9b7d4239ae9b633e2be306139,96280440.77
0xa59acce0789ac17a56e01fd0898ad0df275dd800,92521987.18
0x9a6835d00b12d34443d16431f94c2f9470aec2c7,91362695.88
0x771d463e16aab8bafff9ff67eb822c7dae3b1ad3,74649832.39
0xa107ccdb646f4e32bfb23e25203905a399f8b8ac,72506433.02
0x975a4ffb0301a81f46470b70b246b570254c9db5,71628402.6
0x1342692eb8d77ac5765c6418834c2df284fcced1,70000000
0xd8644e8cea84815cc52ce883222c6419f8bae570,59854723.6
0x49607f08ced1fdca5ade73c95508c724b34aaa72,56138097.57
0x07072620b292342b5172c3275fa2ae3eeb56cd68,52992299.76
0x0d1207798e81f7940ef31b3c85955332fca06d79,50453470.18
0x5e12989628309bc201b127da25434af2ccacb07e,50453470.18
0x75c02c49f77147a0060bb5a7c785ec2a8719f811,50452561.71
0x1ec8aafe2f4b81edb220280b8f44ee92c266c67b,50428718.06
0x6f97904b7e59716766d6337894671cac5bf6b36b,50057782.74
0xc75b11706877591edbbd8ca7c52621c8973585cc,50025192.11
0x0423de2d881997410cb668ae8fcddf449dc2dacd,50000000
0x0b7fea4f0ba8810ad64786ed0dae36e49a402eb4,50000000
0x0be394df9aca8f658ece3afea113f7c75b3ff4bd,50000000
0x0c50ebd71c1abe572c82588cd44bcf9a72435c78,50000000
0x0daeb1fb19bcb29fb722d503b55451c867581b73,50000000
0x0f6a7aaae6d5a68b25d9e984e42f6dfca3935eb1,50000000
0x140368aac8ad4c66cf64b0269b59a2f44875a084,50000000
0x1a0c641a322dbc8020d2cdf8aa489b2fc2baec71,50000000
0x2222e2001e0fa9f01cd7fcd34dadd129a7333d5b,50000000
0x236d4f61d31c0811e3b57853613443226ae4f6ad,50000000
0x2869b6583c5eab44be709629fb64996f138e0777,50000000
0x28bc37813da11425a8e33e779770b119f4e1cc8b,50000000
0x327f2ffda9c150b1379e1b4e142f6abbda3024b9,50000000
0x3522deb6428ad4cc3c826c7d59c44088aa997053,50000000
0x36de60057ec5ab0473fdac50334cdc4a27557e0b,50000000
0x4072b7c650b65e28f16e3b7bd20096274753b4c2,50000000
0x435387800e871da0291cc6bf995bafc208069f29,50000000
0x44cd3792a827b22f1572c20116b303bed53d516d,50000000
0x4616c82bd6419c62d934e50948c8c42f535b384e,50000000
0x48790ce7ae4e1896f98ef90521f8a3a34ff4d4d9,50000000
0x4a99bbf96b256dac3ccf898b05c1d58813595aa8,50000000
0x4b710c110485b60c6a33cf32d78f2c91778a14f2,50000000
0x5172f37fe9920d8d8cfee30fbe71a6989ec892e4,50000000
0x517af199169d1c1a58f6a76d59babff23e5e4e78,50000000
0x51f7d89c7423f2765c0692fbd539a1103b64da0a,50000000
0x5379aff4a2b03a6cd41131152fa1b2643b64106c,50000000
0x566cc2b03d360d5c46f7dac336f5fa56ff8f8584,50000000
0x5b78d5f7d91ea5af8f99b841aa0ef9690223dcdb,50000000
0x62d6647924d5eb910917b12851c0a6410fe7a6a8,50000000
0x631af0c26eb1aea897b0b8b962e9a0a4abce0084,50000000
0x63e13d9038c07c843ca3ed574ea9abbabdabcdc9,50000000
0x68a7aa29e53a59cc2be93d3aafb860ec73db27d2,50000000
0x68b953dd8c8a3c8f35d349dacae057d7c1075c57,50000000
0x6b8106204526c44bfdce8218d0c88dd7811c7b70,50000000
0x6e57c0c50b2a6f893e71b3c59bdc8c1e95f78441,50000000
0x6f033d7acb115a6b5f95c620c4520431b57d65ba,50000000
0x6febc1382311813245b360eb8f8cb60ffb680081,50000000
0x70ab2147275c3092871ef144a4a3a3fec66521ab,50000000
0x70d8bdc7f48193039c56d4a933f21fd2cf408531,50000000
0x723dc539f5477834569f62410c96590c2479b982,50000000
0x741d85a303e8aec431f3d5cbefd337f7bf1137ca,50000000
0x760b43ef12c9f1d8e6c883c72d2755d8d3013593,50000000
0x829538f8e158203b9a2852891545550199656134,50000000
0x84da16a25a6b111b1c8bb36b9f1219b00feb4e75,50000000
0x88519e4bfd4b442b4f315462c4825fe6012a1344,50000000
0x89285a82f2a26be4391ed98a20ed824509928c7d,50000000
0x8f04c29065f4177896abc3f095f42492d4fb8ea2,50000000
0x94e2a0c54f673ac75031f0cf7302a5487289cc5b,50000000
0x9a4507d4f8c53e00b4564b9630bf58a842047044,50000000
0x9c68943da957b334715347899663de43fb01af5b,50000000
0xa191ed15b2ebe2503443eb46deefae0d76582c1f,50000000
0xa3591bd48126a937fbad6d11ff132d6494ad7ce2,50000000
0xb23d09fd05827ba1122df7cf779d493ba75ebc9c,50000000
0xb5a4c612ff9d62adf19e2b66912578d475ea9838,50000000
0xbae59e5f712318f9fae992e922f067747a89dcce,50000000
0xbd94cd9b30bdf8b7eced99e6de63bae53d8a2a91,50000000
0xc1a5110bbcac74f54f7bc18d1add3260d416e1a6,50000000
0xc373af90a4e0738759b1a1a43315450935092535,50000000
0xc6dba6ab181d57c44a189f2a57e34908ca4087be,50000000
0xd123dc0aa20d5a99af140b0265d3b8fde8a9c702,50000000
0xd6db9af0f831daf34397994183f6fbd8df3e049f,50000000
0xdb932a381cc9cd4c6e7f30a4d8d31b0f412294a6,50000000
0xe9bafcd94fec9582d96e93b87e1bb65601bdf35b,50000000
0xea130dd008cea7b4cd6f410b55ee1294ee611346,50000000
0xefdd0448d4b1ea415429c480454a1c75b36e8f95,50000000
0xf1606ed3f9d206eaaf27d296e8ab97d653043acb,50000000
0xf5a0af2e5acd9fe16cfc198d4506f42f50637c2f,50000000
0xfc439ad091af45d434ff71831930d692a3b3e944,50000000
0x3ed4e89e294e95e9bb098a47daa444a4389e1137,36839074
0x30d8d032677a7fe54b0a33c5ebd032cbcf6fb2e8,33434763.82
0xc4a044a9adb0c439733171e839e9c016352f707c,30136686.75
0x4fa5ebfa74b2d256522ee0bd21cf7b9468d45afc,20000000
0x6ae509efba09bd04450b23c7d35e95e7c3d39682,20000000
0x92eed967ac34c00b28aa8a5f5d288c0d36098268,20000000
